750	954	1
757	141	1
247	849	1
252	786	1
761	684	1
775	584	1
758	582	1
255	768	1
257	60	1
262	227	1
761	730	1
256	983	1
248	832	1
749	821	1
748	999	1
517	412	1
258	492	1
259	848	1
259	95	1
262	138	1
776	447	1
257	327	1
753	732	1
257	473	1
316	775	1
760	954	1
257	367	1
261	8	1
248	760	1
258	854	1
265	551	1
759	702	1
759	525	1
257	987	1
262	732	1
756	795	1
256	973	1
254	615	1
740	261	1
750	716	1
258	419	1
756	367	1
759	842	1
755	870	1
757	509	1
759	834	1
761	30	1
260	812	1
759	746	1
242	863	1
239	675	1
756	295	1
756	46	1
257	587	1
750	31	1
755	196	1
255	320	1
780	624	1
261	831	1
759	490	1
255	436	1
260	889	1
258	507	1
261	192	1
252	10	1
250	189	1
255	629	1
262	693	1
756	912	1
251	732	1
761	692	1
748	329	1
244	694	1
258	757	1
239	419	1
262	77	1
245	606	1
885	883	1
257	837	1
755	285	1
760	720	1
251	812	1
757	763	1
758	482	1
251	675	1
746	311	1
751	107	1
257	314	1
259	868	1
819	825	1
262	210	1
243	425	1
749	844	1
758	555	1
743	347	1
756	123	1
756	443	1
759	548	1
258	513	1
758	184	1
261	936	1
755	12	1
260	724	1
756	499	1
757	426	1
752	457	1
251	144	1
256	535	1
254	73	1
245	750	1
257	265	1
255	430	1
756	754	1
743	151	1
259	698	1
256	897	1
751	585	1
762	540	1
768	605	1
259	298	1
756	436	1
270	430	1
761	107	1
760	712	1
744	83	1
755	882	1
257	31	1
769	86	1
260	117	1
261	580	1
756	807	1
257	46	1
738	626	1
250	721	1
258	258	1
767	261	1
747	323	1
775	456	1
759	672	1
257	39	1
250	935	1
754	316	1
120	532	1
256	275	1
748	992	1
757	396	1
256	603	1
247	557	1
263	144	1
264	785	1
260	555	1
239	499	1
759	192	1
794	850	1
259	231	1
755	742	1
280	229	1
774	948	1
756	274	1
277	311	1
756	152	1
757	938	1
258	749	1
757	412	1
267	724	1
758	877	1
752	943	1
757	362	1
758	332	1
758	454	1
257	290	1
259	166	1
742	837	1
256	272	1
731	930	1
735	956	1
756	257	1
249	741	1
759	822	1
761	536	1
263	217	1
253	872	1
256	739	1
259	281	1
258	568	1
256	221	1
756	302	1
259	238	1
264	679	1
257	0	1
267	606	1
251	958	1
263	955	1
264	675	1
758	325	1
760	996	1
257	387	1
259	251	1
251	887	1
258	305	1
757	814	1
736	455	1
756	84	1
276	753	1
775	998	1
262	408	1
253	780	1
257	393	1
753	928	1
756	630	1
253	407	1
262	185	1
755	857	1
247	302	1
755	342	1
255	576	1
264	204	1
237	582	1
758	352	1
763	503	1
260	129	1
261	947	1
253	379	1
753	625	1
754	595	1
836	351	1
756	179	1
768	150	1
256	278	1
260	380	1
757	288	1
265	197	1
756	265	1
277	191	1
773	836	1
247	551	1
251	953	1
754	96	1
760	345	1
257	822	1
757	575	1
767	626	1
756	310	1
753	604	1
256	916	1
260	498	1
749	688	1
763	927	1
494	259	1
798	944	1
280	279	1
10	867	-1
9	572	-1
985	870	-1
506	284	-1
9	384	-1
4	51	-1
506	574	-1
505	879	-1
471	257	-1
509	637	-1
17	327	-1
4	829	-1
508	242	-1
2	149	-1
11	447	-1
